test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code,client_ipv6_address
4123333883,214413074,"xiaomi/whyred/whyred:8.1.0/OPM1.171019.011/V9.5.19.0.OEIMIFA:user/release-keys","2018-08-01 00:01:17","46.133.xxx.xxx",24659,4739,42,"Ivanofrankovsk","Ukraine","UA",48.9226,24.7111,"Uteam","Ukraine","UA","Ivano-Frankivs'ka oblast","26","Tysmenytsya",48.835,24.797,7.19814,"PrJSC VF UKRAINE","1","25504","255","4",17,17,"xiaomi","whyred","qcom","OPM1.171019.011","Xiaomi","Redmi Note 5","whyred","","",1,"Markivtsi, Ivano-Frankivs'ka oblast, Ukraine, 77470","Markivtsi","locality","Ukraine","UA","Ivano-Frankivs'ka oblast","Tysmenyts'kyi district","","77470",""
4123333884,208977495,"samsung/dreamltexx/dreamlte:7.0/NRD90M/G950FXXU1AQDG:user/release-keys","2018-08-01 00:01:17","1.47.xxx.xxx",15757,11523,45,"Phitsanulok","TH","TH",16.8211,100.2659,"AIS","Thailand","TH","Chiang Mai","50","Ban Chang (1)",19.148,98.859,185.674,"Total Access Communication PLC","1","DTAC","520","5",15,15,"samsung","dreamlte","samsungexynos8895","R16NW","samsung","SM-G950F","dreamltexx","","25638659",1,"Ban Chang, Mae Taeng District, Chiang Mai 50150, Thailand","Ban Chang","locality","Thailand","TH","Chiang Mai","Mae Taeng District","","50150",""
4123333885,215924407,"HUAWEI/VNS-L31/HWVNS-H:7.0/HUAWEIVNS-L31/C55B369:user/release-keys","2018-08-01 00:01:17","176.200.xxx.xxx",17826,6772,13,"Milan","Italy","IT",45.4640,9.1916,"KPNQwest Italia S.p.A.","Italy","IT","Lombardy","25","Milan",45.464,9.189,0.103935,"Telecom Italia Mobile","1","I TIM","222","1",15,15,"HUAWEI","HWVNS-H","hi6250","HUAWEIVNS-L31","HUAWEI","HUAWEI VNS-L31","VNS-L31","","",2,"Milan, Italy","Milan","locality","Italy","IT","Lombardy","Metropolitan City of Milan","Milan","20122",""
4123333887,0,"Xiaomi/markw/markw:6.0.1/MMB29M/V9.5.3.0.MBEMIFA:user/release-keys","2018-08-01 00:01:17","37.73.xxx.xxx",34764,11547,53,"Dnepropetrovsk","UA","UA",48.4500,34.9833,"Civilization","Ukraine","UA","Dnipropetrovsk Oblast","12","Dnipro",48.442,35.053,3.27926,"lifecell","1","KYIVSTAR","255","3",21,21,"","","","","","","","","189476109",1,"Dnepropetrovsk, Dnipropetrovsk Oblast, Ukraine","Dnepropetrovsk","locality","Ukraine","UA","Dnipropetrovsk Oblast","Dnipropetrovs'ka city council","","49000",""
4123333888,54017194,"Sony/D2303/D2303:4.3/18.0.C.1.13/8nv_bw:user/release-keys","2018-08-01 00:01:17","223.24.xxx.xxx",14778,3388,31,"Bangkok","Thailand","TH",13.7500,100.4833,"Shama Thunder","Thailand","TH","Bangkok","10","Bangkok",13.889,100.608,12.8145,"True Internet","1","TH 3G+","520","0",17,17,"Sony","D2303","qcom","18.0.C.1.13","Sony","D2303","D2303","","736866",1,"Bangkok, Thailand","Bangkok","locality","Thailand","TH","","","","10220",""
4123333890,182484859,"xiaomi/mido/mido:7.0/NRD90M/V9.6.2.0.NCFMIFD:user/release-keys","2018-08-01 00:01:17","157.48.xxx.xxx",7810,4853,61,"Tenali","India","IN",16.2395,80.6493,"syslink","India","IN","Andhra Pradesh","AP","Chirala",15.837,80.382,32.9858,"Jio","1","Jio 4G","405","854",15,15,"xiaomi","mido","qcom","NRD90M","Xiaomi","Redmi Note 4","mido","","406290",1,"Ipuru Palem Rural, Andhra Pradesh, India","Ipuru Palem Rural","locality","India","IN","Andhra Pradesh","Prakasam","","523157",""
4123333893,217240147,"Xiaomi/santoni/santoni:7.1.2/N2G47H/V9.5.10.0.NAMMIFD:user/release-keys","2018-08-01 00:01:18","47.8.xxx.xxx",1484,3688,65,"Kanpur","India","IN",26.4499,80.3319,"Den Networks Ltd","India","IN","Uttar Pradesh","UP","Rajapur",25.379,81.150,89.8605,"Jio","1","Jio 4G","405","871",15,15,"Xiaomi","santoni","qcom","N2G47H","Xiaomi","Redmi 4","santoni","","2854961",1,"Rajapur, Uttar Pradesh 210207, India","Rajapur","locality","India","IN","Uttar Pradesh","Chitrakoot","","210207",""
4123333895,216509052,"Xiaomi/dior/dior:4.4.2/KVT49L/KHIMIBH22.0:user/release-keys","2018-08-01 00:01:18","123.136.xxx.xxx",544,2282,32,"Penang","Malaysia","MY",5.4000,100.2333,"Celcom Axiata","Malaysia","MY","Kedah","02","Alor Star",6.097,100.356,48.9776,"U Mobile Sdn Bhd","1","U MOBILE","502","18",17,17,"Xiaomi","dior","qcom","KVT49L","Xiaomi","HM NOTE 1LTEW","dior","","3730075",1,"Alor Setar, Kedah, Malaysia","Alor Setar","locality","Malaysia","MY","Kedah","Kota Setar","","05400",""
4123333897,217631705,"xiaomi/tissot/tissot_sprout:8.1.0/OPM1.171019.026/V9.6.4.0.ODHMIFE:user/release-keys","2018-08-01 00:01:18","103.242.xxx.xxx",11398,1979,33,"Dhaka","Bangladesh","BD",23.7000,90.3667,"Robi Axiata Limited","Bangladesh","BD","Chittagong Division","B","Hathazari",22.475,91.813,125.101,"TM International Bangladesh","1","Robi","470","2",17,17,"xiaomi","tissot_sprout","qcom","OPM1.171019.026","Xiaomi","Mi A1","tissot","","41570764",1,"Hathazari Upazila, Bangladesh","Hathazari Upazila","administrative_area_level_3","Bangladesh","BD","Chittagong Division","Chittagong","Hathazari Upazila","",""
4123333900,212337743,"samsung/heroltexx/herolte:7.0/NRD90M/G930FXXU2DRBB:user/release-keys","2018-08-01 00:01:18","110.31.xxx.xxx",102778,21169,13,"New Taipei","Taiwan","TW",25.0111,121.4458,"NCIC Telcom","Taiwan","TW","Taipei City","TPE","Taipei",24.997,121.456,1.14097,"Far EastTone Telecommunication Co.","1","Far EasTone","466","1",15,15,"samsung","herolte","samsungexynos8890","NRD90M","samsung","SM-G930F","heroltexx","","51344909",1,"New Taipei, Banqiao District, New Taipei City, Taiwan","New Taipei","locality","Taiwan","TW","New Taipei City","Luzhou District","","220",""
